name,price,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,class_Desktop,class_Laptop,class_Server,brand_Amd,brand_Intel
Opteron 3320 EE,646.0,AM3+ ,1.9,2.5,4,4,25,1918,838,0,0,1,1,0
FX-7500 APU,,FP3 ,2.1,3.3,4,4,19,1918,958,0,1,0,1,0
Core i3-4025U ,,FCBGA1168 ,1.9,1.9,4,2,15,1918,1080,0,1,0,0,1
Opteron X2170 APU,,FT3 ,2.4,2.4,4,4,25,1911,832,0,0,1,1,0
Core i7-840QM ,289.97,PGA988A ,1.9,3.2,8,4,45,1908,1135,0,1,0,0,1
Core i5-3439Y ,,BGA1023 ,1.5,2.3,4,2,13,1907,1197,1,0,0,0,1
Core i5-4422E ,266.0,FCBGA1364 ,1.8,2.9,4,2,25,1907,1048,0,1,0,0,1
Core M-5Y10a ,,FCBGA1234 ,0.8,2.0,4,2,4.5,1905,993,0,1,0,0,1
Core i3-2120 ,135.0,LGA1155 ,3.3,3.3,4,2,65,1904,1523,1,0,0,0,1
Athlon II X4 615e,59.0,AM3 ,2.5,2.5,4,4,45,1904,1076,1,0,0,1,0
Opteron 2419 EE,,F (1207) ,1.8,1.8,6,6,60,1902,396,0,0,1,1,0
A10-5750M APU,92.86,FS1r2 ,2.5,3.5,4,4,35,1902,1088,0,1,0,1,0
Opteron 1385,45.0,"AM2+,AM3 ",2.7,2.7,4,4,115,1898,1035,0,0,1,1,0
A10 PRO-7350B APU,,FP3 ,2.1,3.3,4,4,19,1896,926,0,1,0,1,0
Celeron G1850 ,79.99,FCLGA1150 ,2.9,2.9,2,2,54,1895,1692,1,0,0,0,1
Athlon II X3 460,29.95,AM3 ,3.4,3.4,3,3,95,1890,1381,1,0,0,1,0
Core i5-2510E ,,PGA988B ,2.5,3.1,4,2,35,1889,1183,0,1,0,0,1
PRO A6-8550B,,FM2+ ,3.7,4.0,2,2,65,1885,1623,1,0,0,1,0
A10-4600M APU,99.95,FS1r2 ,2.3,3.2,4,4,35,1883,1058,0,1,0,1,0
Core i5-2515E ,,BGA1023 ,2.5,3.1,4,2,35,1882,1189,1,0,0,0,1
Core i7-3555LE ,,BGA1023 ,2.5,3.2,4,2,25,1880,980,0,1,0,0,1
Core i5-2435M ,,BGA1023 ,2.4,3.0,4,2,35,1878,1167,0,1,0,0,1
A6-9500,124.99,AM4 ,3.5,3.8,2,2,65,1877,1638,1,0,0,1,0
Core i3-4030U ,,FCBGA1168 ,1.9,1.9,4,2,15,1874,1029,0,1,0,0,1
Pentium G3220 ,191.27,FCLGA1150 ,3.0,3.0,2,2,54,1871,1702,1,0,0,0,1
Core M-5Y10c ,281.0,FCBGA1234 ,0.8,2.0,4,2,4.5,1870,1081,0,1,0,0,1
A6-7480,43.99,FM2+ ,3.5,3.8,2,2,65,1868,1604,1,0,0,1,0
A8-5550M APU,,FS1r2 ,2.1,3.1,4,4,35,1867,1073,0,1,0,1,0
Pentium G2130 ,44.99,FCLGA1155 ,3.2,3.2,2,2,55,1866,1750,1,0,0,0,1
Opteron 2378,14.49,F (1207) ,2.4,2.4,4,4,75,1864,936,0,0,1,1,0
Athlon II X4 610e,69.99,AM3 ,2.4,2.4,4,4,45,1863,1014,1,0,0,1,0
Athlon 5370 APU,598.68,"AM1,FS1B ",2.2,2.2,4,4,25,1857,746,1,0,0,1,0
Pentium G3240 ,96.92,FCLGA1150 ,3.1,3.1,2,2,53,1855,1735,1,0,0,0,1
Core i5-4230U ,,FCBGA1364 ,1.9,2.9,4,2,15,1853,1620,0,1,0,0,1
Core i3-4110U ,,,1.9,1.9,4,2,nan,1853,1119,0,1,0,0,1
Core2 Extreme Q9300 ,,PGA478 ,2.5,2.5,4,4,45,1853,1065,1,0,0,0,1
Pentium 1403 ,,LGA1356 ,2.6,2.6,2,2,80,1851,990,0,0,1,0,1
Core i3-2310E ,225.0,FCBGA1023 ,2.1,2.1,4,2,35,1845,733,0,1,0,0,1
Xeon E5506 ,53.01,LGA1366 ,2.1,2.1,4,4,80,1845,936,0,0,1,0,1
Phenom II X4 805,173.99,AM3 ,2.5,2.5,4,4,95,1844,999,1,0,0,1,0
A6-9500E,164.0,AM4 ,3.0,3.4,2,2,35,1841,1478,1,0,0,1,0
GX-424CC SOC,,FT3b ,2.4,2.4,4,4,25,1839,811,0,1,0,1,0
Athlon II X3 455,139.95,AM3 ,3.3,3.3,3,3,95,1838,1363,1,0,0,1,0
Xeon X3323 ,19.36,LGA775 ,2.5,2.5,4,4,80,1837,1059,0,0,1,0,1
Pentium G3450 ,22.95,FCLGA1150 ,3.4,3.4,2,2,53,1836,1676,1,0,0,0,1
Core i5-560M ,71.97,BGA1288 ,3.2,3.2,4,2,35,1836,1222,0,1,0,0,1
Athlon 5350 APU,69.68,"AM1,FS1B ",2.1,2.1,4,4,25,1832,710,1,0,0,1,0
A8-3800 APU,109.95,FM1 ,2.4,2.7,4,4,65,1825,1037,1,0,0,1,0
Phenom II X4 B15e,,AM2+/AM3 ,2.5,2.5,4,4,nan,1825,1069,1,0,0,1,0
Core i3-3130M ,,BGA1023 ,2.6,2.6,4,2,35,1824,1067,0,1,0,0,1
Core i3-2330E ,,rPGA988 ,2.2,2.2,4,2,35,1823,1063,1,0,0,0,1
Core M-5Y51 ,,FCBGA1234 ,1.1,2.6,4,2,4.5,1821,1102,0,1,0,0,1
Xeon X3220 ,51.0,LGA775 ,2.4,2.4,4,4,105,1819,942,0,0,1,0,1
Core i7-610E ,,BGA1288 ,2.5,3.2,4,2,35,1818,1400,0,1,0,0,1
Core i5-4302Y ,,FCBGA1168 ,1.6,2.3,4,2,11.5,1817,1084,1,0,0,0,1
A8-6500T APU,59.95,FM2 ,2.1,3.1,4,4,45,1816,1048,1,0,0,1,0
Core i3-2105 ,114.99,LGA1155 ,3.1,3.1,4,2,65,1814,1274,1,0,0,0,1
Xeon E5345 ,39.99,LGA771 ,2.3,2.3,4,4,80,1814,947,0,0,1,0,1
Core i7-2677M ,,BGA1023 ,1.8,2.9,4,2,17,1799,1105,0,1,0,0,1
Phenom II X940 Quad-Core,,S1 ,2.4,2.4,4,4,45,1797,785,0,1,0,1,0
Opteron 1381,,AM3 ,2.5,2.5,4,4,75,1797,1011,0,0,1,1,0
