name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score
AMD Ryzen 7 3800XT,$388.00,Desktop,AM4 ,3.9,4.7,16 ,8,105W,23940,2861
Intel Xeon E5-2679 v4 @ 2.50GHz,"$2,702.00*",Server,FCLGA2011-3 ,2.5,3.3,40 ,20,200W,23908,2055
Intel Core i9-10900KF @ 3.70GHz,$529.99,Desktop,FCLGA1200 ,3.7,5.3,20 ,10,125W3,23836,3150
Intel Core i9-7920X @ 2.90GHz,$478.50,Desktop,FCLGA2066 ,2.9,4.4,24 ,12,140W,23589,2504
AMD EPYC 7351,"$1,015.00",Server,SP3 ,2.4,2.9,32 ,16,155W3,23566,1821
Intel Xeon W-2195 @ 2.30GHz,"$2,790.13*",Server,FCLGA2066 ,2.3,4.3,36 ,18,140W,23487,2360
Intel Xeon W-2175 @ 2.50GHz,"$2,098.36*",Server,FCLGA2066 ,2.5,4.3,28 ,14,140W,23442,2483
AMD Ryzen 7 3800X,$407.90,Desktop,AM4 ,3.9,4.5,16 ,8,105W,23373,2746
Intel Core i9-10850K @ 3.60GHz,$429.89,Desktop,FCLGA1200 ,3.6,5.1,20 ,10,125W3,23338,3101
Intel Xeon Gold 6230 @ 2.10GHz,"$2,011.12",Server,FCLGA3647 ,2.1,3.9,40 ,20,125W,23330,2185
Intel Xeon W-2170B @ 2.50GHz,NA,Server,FCLGA-2066 ,2.5,4.3,28 ,14,,23300,2559
AMD Ryzen Threadripper 1920X,$989.00*,Desktop,sTR4 ,3.5,4.0,24 ,12,180W,23183,2307
Intel Xeon Platinum 8176 @ 2.10GHz,"$8,725.00*",Server,FCLGA3647 ,2.1,3.8,56 ,28,165W,23179,2048
Intel Xeon Gold 6146 @ 3.20GHz,"$4,608.95*",Server,FCLGA3647 ,3.2,4.2,24 ,12,165W,23014,2510
AMD Ryzen 7 3700X,$329.00,Desktop,AM4 ,3.6,4.4,16 ,8,65W,22821,2690
Intel Xeon Gold 6140 @ 2.30GHz,"$2,863.75",Server,FCLGA3647 ,2.3,3.7,36 ,18,140W,22733,1840
Intel Xeon W-2255 @ 3.70GHz,$778.00*,,FCLGA2066 ,3.7,4.7,20 ,10,165W,22687,2776
Intel Core i9-10900X @ 3.70GHz,$559.99,Desktop,FCLGA2066 ,3.7,4.7,20 ,10,165W,22684,2730
AMD EPYC 7F32,NA,Server,SP3 ,3.7,3.9,16 ,8,180W,22303,2447
Intel Xeon Gold 6152 @ 2.10GHz,"$4,108.95*",Server,FCLGA3647 ,2.1,3.7,44 ,22,140W,22291,2155
Intel Core i9-10910 @ 3.60GHz,NA,Desktop,FCLGA1200 ,3.6,5.0,20 ,10,125W3,22289,3101
AMD Ryzen 5 5600X,$299.00*,Desktop,AM4 ,3.7,4.6,12 ,6,65W,22271,3394
Intel Xeon W-1290 @ 3.20GHz,$494.00*,Server,FCLGA1200 ,3.2,5.2,20 ,10,80W,22248,3169
Intel Xeon Gold 5218 @ 2.30GHz,"$1,319.95",Server,FCLGA3647 ,2.3,3.9,32 ,16,125W,22117,2245
Intel Xeon E5-2698 v4 @ 2.20GHz,"$3,629.59*",Server,FCLGA2011-3 ,2.2,3.6,40 ,20,135W,22091,2066
Intel Core i9-9900X @ 3.50GHz,$589.99,Desktop,FCLGA2066 ,3.5,4.5,20 ,10,165W,21961,2594
AMD Ryzen 7 PRO 3700,$279.99,Desktop,AM4 ,3.6,4.4,16 ,8,65W,21934,2631
Intel Xeon Gold 6136 @ 3.00GHz,"$2,654.82*",Server,FCLGA3647 ,3.0,3.7,24 ,12,150W,21835,2191
Intel Xeon Gold 6130T @ 2.10GHz,"$1,988.00*",Server,FCLGA3647 ,2.1,3.7,32 ,16,125W,21803,1698
Intel Core i9-7900X @ 3.30GHz,"$1,798.95*",Desktop,FCLGA2066 ,3.3,4.5,20 ,10,140W,21436,2600
Intel Core i9-10900 @ 2.80GHz,$519.00,Desktop,FCLGA1200 ,2.8,5.2,20 ,10,65W,21353,3113
AMD EPYC 7281,$769.98,Server,SP3 ,2.1,2.7,32 ,16,155W3,21230,1613
AMD Ryzen 7 PRO 4750G,$289.00*,Desktop,AM4 ,3.6,4.4,16 ,8,65W,21221,2756
AMD Ryzen 7 4700G,NA,Desktop,AM4 ,3.6,4.4,16 ,8,65W3,21167,2796
AMD EPYC 7262,$623.54,Server,SP3 ,3.2,3.4,16 ,8,155W,21127,1935
Intel Core i9-10900F @ 2.80GHz,$419.99,Desktop,FCLGA1200 ,2.8,5.2,20 ,10,65W,21081,3096
Intel Xeon E5-2696 v4 @ 2.20GHz,"$3,179.00*",Server,FCLGA2011-3 ,2.2,3.6,44 ,22,145W,21031,1787
Intel Xeon W-2155 @ 3.30GHz,"$1,530.39*",Server,FCLGA2066 ,3.3,4.5,20 ,10,140W,20887,2649
AMD Ryzen Threadripper 2990X,NA,Desktop,TR4 ,3.4,4.2,64 ,32,250W,20885,2372
AMD Ryzen 7 PRO 4700G,NA,Desktop,AM4 ,3.6,4.4,16 ,8,65W3,20848,2700
AMD EPYC 7451,"$2,429.00",Server,SP3 ,2.3,3.2,48 ,24,180W,20738,2078
AMD Ryzen 7 4700GE,NA,Desktop,AM4 ,3.1,4.3,16 ,8,35W,20671,2737
Intel Xeon E5-2699 v3 @ 2.30GHz,$922.68*,Server,LGA2011-v3 ,2.3,3.6,36 ,18,145W,20545,1956
Intel Core i9-9820X @ 3.30GHz,$536.00,Desktop,FCLGA2066 ,3.3,4.2,20 ,10,165W,20513,2421
AMD Ryzen 7 PRO 4750GE,NA,Desktop,AM4 ,3.1,4.3,16 ,8,35W,20456,2737
Intel Xeon E5-2696 v3 @ 2.30GHz,"$2,498.00*",Server,LGA2011-v3 ,2.3,3.6,36 ,18,,20305,1778
Intel Xeon W-2150B @ 3.00GHz,NA,Server,FCLGA2066 ,3.0,4.5,20 ,10,,20236,2554
AMD Ryzen 9 4900HS,NA,Laptop,FP6 ,3.0,4.3,16 ,8,35W,19829,2669
Intel Xeon E5-2697 v4 @ 2.30GHz,"$3,162.13",Server,FCLGA2011-3 ,2.3,3.6,36 ,18,145W,19820,1820
Intel Xeon Gold 6226 @ 2.70GHz,"$1,886.96",Server,FCLGA3647 ,2.7,3.7,24 ,12,125W,19810,2104
Intel Xeon W-1270 @ 3.40GHz,$362.00*,Server,FCLGA1200 ,3.4,5.0,16 ,8,80W,19704,3032
Intel Core i7-10700K @ 3.80GHz,$359.99,Desktop,FCLGA1200 ,3.8,5.1,16 ,8,125W3,19670,3088
Intel Xeon E5-2682 v4 @ 2.50GHz,NA,Server,FCLGA2011-3 ,2.5,3.0,32 ,16,120W,19634,1825
AMD EPYC 7351P,"$1,621.00",Server,SP3 ,2.4,2.9,32 ,16,155W3,19589,1876
Intel Core i7-10700KF @ 3.80GHz,$359.99,Desktop,FCLGA1200 ,3.8,5.1,16 ,8,125W3,19575,3094
Intel Xeon Gold 6132 @ 2.60GHz,"$2,142.00*",Server,FCLGA3647 ,2.6,3.7,28 ,14,140W,19552,2177
Intel Core i9-9900KS @ 4.00GHz,"$1,965.00*",Desktop,FCLGA1151-2 ,4.0,5.0,16 ,8,127W,19478,3037
Intel Xeon E5-2698 v3 @ 2.30GHz,"$3,405.95",Server,LGA2011-v3 ,2.3,3.6,32 ,16,135W,19405,2002
Intel Xeon W-2245 @ 3.90GHz,$729.99*,Server,FCLGA2066 ,3.9,4.7,16 ,8,155W,19384,2753
Intel Xeon Gold 6137 @ 3.90GHz,NA,Server,FCLGA-3647 ,3.9,4.1,16 ,16,205W,19365,2499
Intel Core i7-7900X @ 3.30GHz,NA,Desktop,FCLGA2066 ,3.3,4.3,20 ,10,140W,19358,2610
Intel Xeon E5-2695 v4 @ 2.10GHz,"$7,183.00*",Server,FCLGA2011-3 ,2.1,3.3,36 ,18,120W,19299,1863
Intel Xeon Gold 6126 @ 2.60GHz,"$1,539.95*",Server,FCLGA3647 ,2.6,3.7,24 ,12,125W,19223,2019
AMD Ryzen 9 4900H,NA,Laptop,FP6 ,3.3,4.4,16 ,8,45W3,19094,2719
AMD Ryzen 7 4800H,NA,Laptop,FP6 ,2.9,4.2,16 ,8,45W3,19069,2662
